,Year released,Rating,ratings,author_name,title
68,2008,4.32,7591926,Suzanne Collins,The Hunger Games
1,2012,4.16,4501032,John Green,The Fault in Our Stars
65,2011,4.16,3540949,Veronica Roth,Divergent
108,2009,4.3,3064538,Suzanne Collins,Catching Fire
33,1597,3.74,2376465,William Shakespeare,Romeo and Juliet
11,2011,3.66,2327268,E.L. James,Fifty Shades of Grey
22,1847,4.14,1896342,Charlotte Brontë,Jane Eyre
219,1997,4.14,1885367,Arthur Golden,Memoirs of a Geisha
60,2007,4.08,1860270,Cassandra Clare,City of Bones
13,2006,3.57,1734961,Stephenie Meyer,New Moon
7,2016,4.38,1641804,Colleen Hoover,It Ends with Us
16,2008,3.72,1544376,Stephenie Meyer,Breaking Dawn
18,1996,4.13,1537458,Nicholas Sparks,The Notebook
23,2017,4.47,1520986,Taylor Jenkins Reid,The Seven Husbands of Evelyn Hugo
138,2006,4.1,1520037,Sara Gruen,Water for Elephants
12,2012,4.26,1436094,Jojo Moyes,Me Before You
120,2005,3.98,1408442,John Green,Looking for Alaska
162,2012,3.99,1367875,Veronica Roth,Insurgent
183,2008,3.74,1193459,John Green,Paper Towns
118,1936,4.3,1160178,Margaret Mitchell,Gone with the Wind
19,2015,4.19,1141409,Sarah J. Maas,A Court of Thorns and Roses
42,1811,4.08,1092091,Jane Austen,Sense and Sensibility
14,2012,3.97,1066165,Rainbow Rowell,Eleanor & Park
127,2008,3.85,963467,Stephenie Meyer,The Host
245,2013,3.61,961821,Veronica Roth,Allegiant
15,1991,4.25,957461,Diana Gabaldon,Outlander
49,2011,4.38,950167,Madeline Miller,The Song of Achilles
101,2018,3.83,948855,Sally Rooney,Normal People
17,2014,4.22,929379,Colleen Hoover,Ugly Love
142,2009,4.29,901506,Cassandra Clare,City of Glass
122,2008,4.13,865831,Cassandra Clare,City of Ashes
94,1973,4.26,852415,William Goldman,The Princess Bride
52,2011,4.03,849454,Erin Morgenstern,The Night Circus
28,2011,3.83,837476,E.L. James,Fifty Shades Darker
174,2015,4.03,833765,Victoria Aveyard,Red Queen
38,2012,3.84,795618,E.L. James,Fifty Shades Freed
48,1815,4.04,784651,Jane Austen,Emma
144,2010,4.32,776513,Cassandra Clare,Clockwork Angel
135,2012,3.95,776233,Leigh Bardugo,Shadow and Bone
24,2014,4.07,739461,Jenny Han,To All the Boys I've Loved Before
110,2010,3.63,732124,Ally Condie,Matched
277,2021,4.29,724017,Ali Hazelwood,The Love Hypothesis
8,2021,4.29,724017,Ali Hazelwood,The Love Hypothesis
163,2018,4.09,721361,Holly Black,The Cruel Prince
88,2020,4.22,686794,V.E. Schwab,The Invisible Life of Addie LaRue
112,2009,3.94,660659,Becca Fitzpatrick,"Hush, Hush"
61,2017,4.43,655054,Sarah J. Maas,A Court of Wings and Ruin
35,2013,3.97,645722,Kiera Cass,The Elite
161,2007,4.11,614151,Richelle Mead,Vampire Academy
2,2019,4.16,607767,Casey McQuiston,"Red, White & Royal Blue"
5,2020,4.06,607628,Emily Henry,Beach Read
220,2009,3.76,578256,Kami Garcia,Beautiful Creatures
92,2006,4.04,577789,Nicholas Sparks,Dear John
44,2014,4.17,574496,Kiera Cass,The One
206,2011,4.09,559039,Cassandra Clare,City of Fallen Angels
209,1938,4.24,556837,Daphne du Maurier,Rebecca
171,2013,4.36,554931,Sarah J. Maas,Crown of Midnight
185,2009,3.72,553649,Lauren Kate,Fallen
54,2015,4.0,539107,Nicola Yoon,"Everything, Everything"
4,2016,3.98,537504,Sally  Thorne,The Hating Game
111,2008,4.15,536546,Nicholas Sparks,The Last Song
58,2015,4.29,532191,Colleen Hoover,November 9
131,2022,4.52,523841,Colleen Hoover,Reminders of Him
99,2011,3.9,517418,Tahereh Mafi,Shatter Me
76,2013,4.02,516559,Graeme Simsion,The Rosie Project
202,2011,4.43,515519,Cassandra Clare,Clockwork Prince
167,2017,3.84,515457,Adam Silvera,They Both Die at the End
57,2012,4.16,498707,Sylvia Day,Bared to You
236,2012,4.23,493192,Cassandra Clare,City of Lost Souls
282,2011,4.16,487553,Marie Lu,Legend
71,2012,4.34,476866,Benjamin Alire Sáenz,Aristotle and Dante Discover the Secrets of the Universe
292,2014,4.46,473089,Sarah J. Maas,Heir of Fire
113,2015,4.14,471843,Jennifer Niven,All the Bright Places
129,2009,3.76,465220,Maggie Stiefvater,Shiver
256,2019,4.34,445996,Holly Black,The Wicked King
123,2011,4.01,445677,Deborah Harkness,A Discovery of Witches
165,2018,3.8,433701,Sarah J. Maas,A Court of Frost and Starlight
26,2015,4.27,431337,Elle Kennedy,The Deal
41,2018,4.53,430677,Alice Oseman,Heartstopper: Volume One
116,2013,3.89,430349,Kevin Kwan,Crazy Rich Asians
283,2015,4.56,412140,Sarah J. Maas,Queen of Shadows
84,2009,3.84,396929,Jenny Han,The Summer I Turned Pretty
243,2019,4.37,396096,Holly Black,The Queen of Nothing
67,2015,4.2,389450,Becky Albertalli,Simon vs. the Homo Sapiens Agenda
86,2007,4.13,389241,André Aciman,Call Me By Your Name
55,2012,4.29,383899,Colleen Hoover,Hopeless
168,2021,4.41,380727,Sarah J. Maas,A ​Court of Silver Flames
27,2021,3.97,377868,Elena  Armas,The Spanish Love Deception
166,2013,4.26,377397,Marissa Meyer,Scarlet
207,2004,4.03,365580,Cecelia Ahern,P.S. I Love You
150,2010,4.21,363661,Nicholas Sparks,Safe Haven
279,2020,4.45,358972,T.J. Klune,The House in the Cerulean Sea
133,1817,3.84,356726,Jane Austen,Northanger Abbey
25,2000,3.82,356433,Julia Quinn,The Duke and I
119,2011,3.99,352283,Laini Taylor,Daughter of Smoke & Bone
153,2007,4.12,347631,Nicholas Sparks,The Lucky One
297,2016,4.56,343879,Sarah J. Maas,Empire of Storms
156,2012,4.31,334677,Sylvia Day,Reflected in You
200,2014,4.42,332040,Marissa Meyer,Cress
98,1992,4.33,327326,Diana Gabaldon,Dragonfly in Amber
90,2020,4.29,325849,Jennifer L. Armentrout,From Blood and Ash
189,1814,3.86,321831,Charlaine Harris,Mansfield Park
59,2015,4.05,321648,Jenny Han,P.S. I Still Love You
69,2005,4.16,320970,J.R. Ward,Dark Lover
73,2019,4.6,316062,Alice Oseman,Heartstopper: Volume Two
234,2020,4.48,312233,Sarah J. Maas,House of Earth and Blood
290,2013,4.18,310275,Tahereh Mafi,Unravel Me
140,2015,3.67,300177,Kiera Cass,The Heir
203,2019,4.22,287156,Colleen Hoover,Regretting You
155,1993,4.38,286958,Diana Gabaldon,Voyager
196,2011,3.99,282137,Lisa Kleypas,Where She Went
79,2016,4.01,281659,Nicola Yoon,The Sun Is Also a Star
148,2015,4.2,280623,Rainbow Rowell,Carry On
29,2019,4.04,276885,Beth O'Leary,The Flatshare
93,2020,4.63,273686,Alice Oseman,Heartstopper: Volume Three
180,2011,4.15,267374,Jennifer L. Armentrout,Obsidian
194,2014,3.71,263884,K.A. Tucker,After
46,2021,4.07,255193,Tessa Bailey,It Happened One Summer
107,2012,4.22,254688,Colleen Hoover,Slammed
244,2015,4.43,245936,Marissa Meyer,Winter
221,1996,4.34,232769,Diana Gabaldon,Drums of Autumn
267,1998,3.97,227762,Nicholas Sparks,Message in a Bottle
149,2021,4.67,227360,Alice Oseman,Heartstopper: Volume Four
85,2015,4.05,225576,Elle Kennedy,The Mistake
102,2012,4.08,225554,Tammara Webber,Easy
226,2020,4.35,224754,Colleen Hoover,Heart Bones
272,2020,4.43,224628,Jennifer L. Armentrout,A Kingdom of Flesh and Fire
208,2016,3.65,223841,Kiera Cass,The Crown
204,2019,4.03,220662,Shelby Mahurin,Serpent & Dove
289,2004,4.12,218798,Sarah Dessen,The Truth About Forever
53,2018,4.35,215451,Christina Lauren,Love and Other Words
222,2011,3.94,214926,Sophie Kinsella,I've Got Your Number
74,2012,4.01,198768,Alice Clayton,Wallbanger
114,2016,4.21,195637,Elle Kennedy,The Score
296,2020,3.72,194655,Stephenie Meyer,Midnight Sun
51,2001,3.95,192481,Julia Quinn,An Offer From a Gentleman
97,2011,3.88,190317,Rainbow Rowell,Attachments
103,2012,4.18,189455,Samantha Young,On Dublin Street
64,2002,3.96,188360,Julia Quinn,Romancing Mister Bridgerton
126,2013,3.96,187771,Christina Lauren,Beautiful Bastard
78,2014,4.33,183482,Mia Sheridan,Archer's Voice
56,2016,4.27,181562,Mariana Zapata,The Wall of Winnipeg and Me
182,2006,4.44,173335,J.R. Ward,Lover Awakened
248,2018,4.2,173328,Rachael Lippincott,Five Feet Apart
238,2012,4.16,169269,Abbi Glines,Fallen Too Far
199,2016,4.1,164083,Sarah MacLean,One True Loves
291,2012,4.24,163696,Colleen Hoover,Point of Retreat
275,2014,3.54,161979,Rainbow Rowell,Landline
170,2013,3.94,161031,Penelope Douglas,Bully
134,2015,4.07,160644,Renée Ahdieh,The Wrath and the Dawn
143,2011,3.92,160612,Stephanie Perkins,Lola and the Boy Next Door
211,2021,3.78,156928,Ana Huang,Twisted Love
157,2018,4.0,155589,Penelope Douglas,Birthday Girl
39,2021,4.01,154210,Casey McQuiston,One Last Stop
266,2007,4.13,151672,Jeaniene Frost,Halfway to the Grave
232,2012,3.98,147935,Huntley Fitzpatrick,My Life Next Door
264,2012,4.22,146564,J.A. Redmerski,The Edge of Never
100,2018,4.34,144173,Mariana Zapata,From Lukov with Love
280,2018,4.08,143376,Danielle Lori,The Sweetest Oblivion
273,2019,3.85,142444,Scarlett St.  Clair,A Touch of Darkness
82,2003,3.76,140654,Julia Quinn,"To Sir Phillip, With Love"
286,2015,3.81,138238,Penelope Douglas,Corrupt
66,2021,4.04,136796,Christina Lauren,The Soulmate Equation
179,2009,4.12,134276,Nora Roberts,Vision in White
216,2016,3.98,132250,Elle Kennedy,The Goal
34,2019,3.87,131144,Helen Hoang,The Bride Test
281,2007,4.31,129500,J.R. Ward,Lover Unbound
186,2016,3.95,126593,Erin Watt,Paper Princess
62,2018,3.6,124943,Jasmine Guillory,The Wedding Date
237,2017,4.05,124688,Mackenzi Lee,The Gentleman's Guide to Vice and Virtue
105,2004,4.01,124412,Julia Quinn,When He Was Wicked
192,2018,3.86,121957,David Nicholls,What If It's Us
276,2012,4.05,121285,Katie McGarry,Pushing the Limits
241,2021,4.01,118844,Lauren Asher,The Fine Print
225,2014,4.01,113789,Stephanie Perkins,Isla and the Happily Ever After
263,2012,3.77,113752,Jennifer E. Smith,The Statistical Probability of Love at First Sight
146,2021,3.74,112532,Katee Robert,Neon Gods
250,2016,4.01,111719,L.J. Shen,Vicious
228,2011,4.03,111514,R.L. Mathewson,Playing for Keeps
145,2020,3.74,110076,Christina Lauren,In a Holidaze
223,2018,3.91,109987,Elle Kennedy,The Chase
249,2009,3.89,107608,Gail Carriger,Soulless
141,2005,4.01,105907,Julia Quinn,It's in His Kiss
293,2014,3.96,105328,Marie Rutkoski,The Winner's Curse
287,2016,4.16,102788,Tillie Cole,A Thousand Boy Kisses
233,2016,4.1,102568,Jenna Evans Welch,Love & Gelato
190,2018,3.49,100627,Jane Austen,The Proposal
278,2019,3.96,100491,Amal El-Mohtar,This is How You Lose the Time War
154,2015,4.31,95837,Mariana Zapata,Kulti
288,2020,3.99,95605,Beth O'Leary,The Switch
104,2019,3.65,93869,Tessa Bailey,Fix Her Up
132,2021,3.55,93853,Erin Sterling,The Ex Hex
218,2004,3.93,90477,Jennifer Crusie,Bet Me
172,2006,3.84,89776,Julia Quinn,On the Way to the Wedding
169,2019,3.9,88892,Abby Jimenez,The Friend Zone
137,2022,4.07,87537,Ali Hazelwood,Love on the Brain
214,2013,3.84,87419,Krista Ritchie,Addicted to You
274,2014,3.66,87119,Rosamund Hodge,Cruel Beauty
80,2021,4.01,82190,Helen Hoang,The Heart Principle
187,2020,3.91,81435,(Pseudonym),One to Watch
139,2020,4.09,81105,Alexis  Hall,Boyfriend Material
197,2021,4.09,78605,Gayle Forman,Seven Days in June
70,2019,3.91,77742,Lyssa Kay Adams,The Bromance Book Club
89,2020,3.95,77084,Sarah Hogle,You Deserve Each Other
117,2006,4.24,77013,Lisa Kleypas,Devil in Winter
159,2020,3.65,76613,Rosie Danan,The Roommate
50,2020,4.06,75803,Talia Hibbert,"Take a Hint, Dani Brown"
193,2018,4.33,72371,Becky Albertalli,The Simple Wild
284,2006,4.09,70446,Nalini Singh,Slave to Sensation
265,2021,4.35,70129,Mariana Zapata,All Rhodes Lead Here
158,2019,3.39,69346,Sally  Thorne,99 Percent Mine
227,2022,3.75,69278,Ali Hazelwood,Under One Roof
270,2020,4.17,68882,Abby Jimenez,The Happy Ever After Playlist
147,2004,4.03,67926,Lisa Kleypas,Secrets of a Summer Night
77,2021,4.16,64493,Talia Hibbert,"Act Your Age, Eve Brown"
95,2019,3.97,63015,Evie Dunmore,Bringing Down the Duke
230,2013,3.9,60932,Penny Reid,Neanderthal Seeks Human
184,2021,3.59,60023,Sally  Thorne,Second First Impressions
87,2019,3.85,58786,Jen DeLuca,Well Met
224,2017,3.82,58406,Christina Lauren,Roomies
164,2021,3.76,57761,Rachel Lynn Solomon,The Ex Talk
231,2020,3.84,53076,Mhairi McFarlane,If I Never Met You
235,2020,3.96,52886,Emma Lord,Tweet Cute
240,2017,3.69,52486,Sandhya Menon,When Dimple Met Rishi
247,2021,3.66,51696,Angie Hockman,Shipped
124,2017,4.0,48340,Tessa Dare,The Duchess Deal
258,2006,4.03,48206,Lisa Kleypas,Scandal in Spring
269,2015,3.91,46697,Penny Reid,Truth or Beard
177,2014,3.89,40861,Tessa Dare,Romancing the Duke
242,2012,3.93,40424,Sarah MacLean,A Rogue by Any Other Name
215,2020,3.7,32398,Alexis Daria,You Had Me at Hola
213,2020,3.91,31978,Alexandria Bellefleur,Written in the Stars
295,2018,3.91,27195,Tessa Dare,The Governess Game
294,2022,4.2,26876,Ashley Herring Blake,Delilah Green Doesn't Care
217,2012,3.82,26223,Courtney Milan,The Duchess War
268,2018,3.78,14602,Alyssa Cole,A Princess in Theory
